bedrooms,bathrooms,living_sqft,parcel_sqft,floors,waterfront,view_quality,condition,KC_grade,sqft_basement,built_year,renovation_year,zipcode,latitude,longitude,sqft_living15,sqft_lot15,date,price,id.1
3.0,1.0,1180.0,5650.0,1.0,,0,3,7,0.0,1955,0,98178,47.5112,-122.257,1340.0,5650.0,2014-10-13,221900.0,1
3.0,2.25,2570.0,7242.0,2.0,0.0,0,3,7,400.0,1951,1991,98125,47.721,-122.319,1690.0,7639.0,2014-12-09,538000.0,2
2.0,1.0,770.0,10000.0,1.0,0.0,0,3,6,0.0,1933,0,98028,47.7379,-122.233,2720.0,8062.0,2015-02-25,180000.0,3
4.0,3.0,1960.0,5000.0,1.0,0.0,0,5,7,910.0,1965,0,98136,47.5208,-122.393,1360.0,5000.0,2014-12-09,604000.0,4
3.0,2.0,1680.0,8080.0,1.0,0.0,0,3,8,0.0,1987,0,98074,47.6168,-122.045,1800.0,7503.0,2015-02-18,510000.0,5
4.0,4.5,5420.0,101930.0,1.0,0.0,0,3,11,1530.0,2001,0,98053,47.6561,-122.005,4760.0,101930.0,2014-05-12,1230000.0,6
3.0,2.25,1715.0,6819.0,2.0,0.0,0,3,7,,1995,0,98003,47.3097,-122.327,2238.0,6819.0,2014-06-27,257500.0,7
3.0,1.5,1060.0,9711.0,1.0,0.0,,3,7,0.0,1963,0,98198,47.4095,-122.315,1650.0,9711.0,2015-01-15,291850.0,8
3.0,1.0,1780.0,7470.0,1.0,0.0,0,3,7,730.0,1960,0,98146,47.5123,-122.337,1780.0,8113.0,2015-04-15,229500.0,9
3.0,2.5,1890.0,6560.0,2.0,0.0,0,3,7,0.0,2003,0,98038,47.3684,-122.031,2390.0,7570.0,2015-03-12,323000.0,10
3.0,2.5,3560.0,9796.0,1.0,,0,3,8,1700.0,1965,0,98007,47.6007,-122.145,2210.0,8925.0,2015-04-03,662500.0,11
2.0,1.0,1160.0,6000.0,1.0,0.0,0,4,7,300.0,1942,0,98115,47.69,-122.292,1330.0,6000.0,2014-05-27,468000.0,12
3.0,1.0,1430.0,19901.0,1.5,0.0,0,4,7,0.0,1927,0,98028,47.7558,-122.229,1780.0,12697.0,2014-05-28,310000.0,13
3.0,1.75,1370.0,9680.0,1.0,0.0,0,4,7,0.0,1977,0,98074,47.6127,-122.045,1370.0,10208.0,2014-10-07,400000.0,14
5.0,2.0,1810.0,4850.0,1.5,0.0,0,3,7,0.0,1900,0,98107,47.67,-122.394,1360.0,4850.0,2015-03-12,530000.0,15
4.0,3.0,2950.0,5000.0,2.0,0.0,3,3,9,970.0,1979,0,98126,47.5714,-122.375,2140.0,4000.0,2015-01-24,650000.0,16
3.0,2.0,1890.0,14040.0,2.0,0.0,0,3,7,0.0,1994,0,98019,47.7277,-121.962,1890.0,14018.0,2014-07-31,395000.0,17
4.0,1.0,1600.0,4300.0,1.5,0.0,0,4,7,0.0,1916,0,98103,47.6648,-122.343,1610.0,4300.0,2014-05-29,485000.0,18
2.0,1.0,1200.0,9850.0,1.0,0.0,0,4,7,,1921,0,98002,47.3089,-122.21,1060.0,5095.0,2014-12-05,189000.0,19
3.0,1.0,1250.0,9774.0,1.0,0.0,0,4,7,0.0,1969,0,98003,47.3343,-122.306,1280.0,8850.0,2015-04-24,230000.0,20
4.0,1.75,1620.0,4980.0,1.0,0.0,0,4,7,760.0,1947,0,98133,47.7025,-122.341,1400.0,4980.0,2014-05-14,385000.0,21
3.0,2.75,3050.0,44867.0,1.0,0.0,4,3,9,720.0,1968,0,98040,47.5316,-122.233,4110.0,20336.0,2014-08-26,2000000.0,22
5.0,2.5,2270.0,6300.0,2.0,0.0,0,3,8,0.0,1995,0,98092,47.3266,-122.169,2240.0,7005.0,2014-07-03,285000.0,23
2.0,1.5,1070.0,9643.0,1.0,,0,3,7,0.0,1985,0,98030,47.3533,-122.166,1220.0,8386.0,2014-05-16,252700.0,24
3.0,2.25,2450.0,6500.0,2.0,0.0,0,4,8,0.0,1985,0,98030,47.3739,-122.17298,2200.0,6865.0,2014-11-20,329000.0,25
3.0,2.0,1710.0,4697.0,1.5,0.0,0,5,6,0.0,1941,0,98002,47.3048,-122.218,1030.0,4705.0,2014-11-03,233000.0,26
3.0,1.75,2450.0,2691.0,2.0,0.0,0,3,8,700.0,1915,0,98119,47.6386,-122.36,1760.0,3573.0,2014-06-26,937000.0,27
3.0,1.0,1400.0,1581.0,1.5,0.0,0,5,8,0.0,1909,0,98112,47.6221,-122.314,1860.0,3861.0,2014-12-01,667000.0,28
3.0,1.75,1520.0,6380.0,1.0,0.0,0,3,7,730.0,1948,0,98115,47.695,-122.304,1520.0,6235.0,2014-06-24,438000.0,29
4.0,2.5,2570.0,7173.0,2.0,0.0,0,3,8,0.0,2005,0,98052,47.7073,-122.11,2630.0,6026.0,2015-03-02,719000.0,30
3.0,2.5,2320.0,3980.0,2.0,0.0,0,3,8,0.0,2003,0,98027,47.5391,-122.07,2580.0,3980.0,2014-11-10,580500.0,31
2.0,1.5,1190.0,1265.0,3.0,0.0,0,3,7,0.0,2005,0,98133,47.7274,-122.357,1390.0,1756.0,2014-12-01,280000.0,32
4.0,1.75,2330.0,5000.0,1.5,0.0,0,4,7,820.0,1929,0,98117,47.6823,-122.368,1460.0,5000.0,2014-06-24,687500.0,33
3.0,1.0,1090.0,3000.0,1.5,0.0,0,4,8,0.0,1929,0,98117,47.6889,-122.375,1570.0,5080.0,2014-11-10,535000.0,34
4.0,2.75,2060.0,6659.0,1.0,0.0,0,3,7,780.0,1981,0,98058,47.4276,-122.157,2020.0,8720.0,2014-12-03,322500.0,35
3.0,2.5,2300.0,3060.0,1.5,0.0,0,3,8,790.0,1930,2002,98115,47.6827,-122.31,1590.0,3264.0,2014-06-13,696000.0,36
4.0,1.0,1660.0,34848.0,1.0,0.0,0,1,5,730.0,1933,0,98052,47.6621,-122.132,2160.0,11467.0,2014-05-28,550000.0,37
4.0,2.0,2360.0,6000.0,2.0,0.0,0,4,8,0.0,1904,0,98107,47.6702,-122.362,1730.0,4700.0,2014-12-30,640000.0,38
4.0,1.0,1220.0,8075.0,1.0,0.0,0,2,7,330.0,1969,0,98001,47.3341,-122.282,1290.0,7800.0,2015-02-13,240000.0,39
4.0,2.5,2620.0,7553.0,2.0,0.0,0,3,8,0.0,1996,0,98056,47.5301,-122.18,2620.0,11884.0,2014-06-20,605000.0,40
4.0,2.5,2570.0,5520.0,2.0,,0,3,9,0.0,2000,0,98074,47.6145,-122.027,2470.0,5669.0,2014-07-15,625000.0,41
4.0,2.25,4220.0,24186.0,1.0,0.0,0,3,8,1620.0,1984,0,98166,47.445,-122.347,2410.0,30617.0,2014-08-11,775000.0,42
5.0,2.75,3595.0,5639.0,2.0,0.0,0,3,9,,2014,0,98053,47.6848,-122.016,3625.0,5639.0,2014-07-07,861990.0,43
3.0,1.0,1570.0,2280.0,2.0,0.0,0,3,7,0.0,1922,0,98119,47.6413,-122.364,1580.0,2640.0,2014-10-28,685000.0,44
3.0,1.0,1280.0,9656.0,1.0,0.0,0,4,6,360.0,1959,0,98058,47.4485,-122.175,1340.0,8808.0,2014-07-29,309000.0,45
3.0,2.5,3160.0,13603.0,2.0,0.0,0,3,8,0.0,2003,0,98019,47.7443,-121.977,3050.0,9232.0,2014-07-18,488000.0,46
